"CONTENUTO_ID","PROGRAMMA_ID","TITOLO","DESCRIZIONE_BREVE","DESCRIZIONE_COMPLETA","PAROLE_CHIAVE","CAST_PRINCIPALE","REGISTA","ANNO_PRODUZIONE","PAESE_ORIGINE","LINGUA_ORIGINALE","SOTTOTITOLI_DISPONIBILI"
11,11,"Caduta Libera","Game show","Caduta Libera è il game show condotto da Gerry Scotti dove i concorrenti devono rispondere correttamente per non precipitare dalla botola. Quiz, cultura generale e velocità di riflessi in un format adrenalinico che tiene incollati allo schermo grandi e piccini.","quiz, botola, gerry scotti, game show","Gerry Scotti","Endemol",2015,"Italia","Italiano","Italiano"
12,12,"Mattino Cinque","Programma mattutino di informazione","Mattino Cinque è il contenitore mattutino di Canale 5 che accompagna gli italiani nella prima parte della giornata. Attualità, cronaca, gossip e rubriche di servizio si alternano in un mix informativo e leggero condotto con professionalità e simpatia.","mattina, informazione, attualità, gossip","Federica Panicucci, Francesco Vecchi","Videonews",2008,"Italia","Italiano","Italiano"
13,13,"Pomeriggio Cinque","Contenitore pomeridiano","Pomeriggio Cinque è il programma che intrattiene il pubblico nelle ore pomeridiane con un mix di cronaca, attualità e gossip. Barbara d'Urso ha reso il format un appuntamento imperdibile per milioni di telespettatori, trattando i temi caldi del momento con il suo stile inconfondibile.","pomeriggio, cronaca, gossip, attualità","Myrta Merlino","Videonews",2008,"Italia","Italiano","Italiano"
14,14,"Quarta Repubblica","Talk show politico","Quarta Repubblica è il talk show di approfondimento politico ed economico di Rete 4. Nicola Porro conduce dibattiti accesi tra esponenti politici, giornalisti e opinionisti sui temi più controversi dell'attualità italiana e internazionale.","politica, economia, dibattito, approfondimento","Nicola Porro","Videonews",2018,"Italia","Italiano","Italiano"
15,15,"Colorado","Programma comico","Colorado è lo show comico di Italia 1 che ha lanciato generazioni di comici italiani. Dal palco del teatro, i migliori talenti della risata si esibiscono in sketch, monologhi e gag esilaranti che fanno ridere tutta la famiglia.","comicità, sketch, risate, teatro, cabaret","Paolo Ruffini, Belen Rodriguez","Mediaset",2003,"Italia","Italiano","Italiano"
16,16,"Tu Si Que Vales","Talent show varietà","Tu Si Que Vales è il talent show che celebra ogni forma di talento. Cantanti, ballerini, acrobati, maghi e performer di ogni tipo si esibiscono davanti alla giuria per conquistare il pubblico e vincere il ricco montepremi finale.","talent, varietà, esibizioni, giuria, talento","Maria De Filippi, Gerry Scotti, Rudy Zerbi, Teo Mammucari","Fascino PGT",2014,"Italia","Italiano","Italiano"
17,17,"Avanti un Altro","Quiz show comico","Avanti un Altro è il quiz show più pazzo della televisione italiana. Paolo Bonolis guida i concorrenti attraverso domande surreali, personaggi bizzarri e situazioni esilaranti nel tentativo di conquistare il montepremi finale.","quiz, comicità, paolo bonolis, gioco","Paolo Bonolis, Luca Laurenti","SDL",2011,"Italia","Italiano","Italiano"
18,18,"La Pupa e il Secchione","Reality show","La Pupa e il Secchione è il reality che mette insieme ragazze belle ma poco istruite con ragazzi intelligenti ma impacciati. Un esperimento sociale divertente dove i concorrenti devono imparare gli uni dagli altri, creando coppie improbabili ma vincenti.","reality, pupe, secchioni, coppie, sfide","Andrea Pucci","Endemol",2006,"Italia","Italiano","Italiano"
19,19,"Temptation Island","Reality sentimentale","Temptation Island mette alla prova l'amore di coppie non sposate in un resort paradisiaco. Separati e circondati da tentatori e tentatrici single, i fidanzati devono resistere alle tentazioni per uscire insieme dal programma più forti di prima.","reality, coppie, tentazione, amore, isola","Filippo Bisciglia","Fascino PGT",2014,"Italia","Italiano","Italiano"
20,20,"Paperissima Sprint","Programma di video divertenti","Paperissima Sprint raccoglie i video amatoriali più divertenti inviati dai telespettatori. Cadute, papere, animali buffi e situazioni esilaranti commentate con ironia per un appuntamento leggero adatto a tutta la famiglia.","video, papere, divertente, famiglia","Vittorio Brumotti","Mediaset",1990,"Italia","Italiano","Italiano"
