"ASCOLTO_ID","PALINSESTO_ID","PROGRAMMA_ID","DATA_RILEVAZIONE","FASCIA_ORARIA","REGIONE","TELESPETTATORI","SHARE_PERCENTUALE","TARGET_COMMERCIALE","DISPOSITIVO"
18,2,1,"2024-01-06","Mattina","Sicilia",87521,24.00,"Adulti 25-54","TV Tradizionale"
19,2,1,"2024-01-06","Mattina","Toscana",678176,5.00,"Adulti 25-54","Streaming"
20,2,1,"2024-01-06","Mattina","Veneto",1457399,28.00,"Giovani 15-34","Streaming"
21,3,1,"2024-01-09","Mattina","Calabria",1352945,23.00,"Tutti","Streaming"
22,3,1,"2024-01-09","Mattina","Campania",1056614,7.00,"Tutti","Streaming"
23,3,1,"2024-01-09","Mattina","Emilia-Romagna",249035,18.00,"Giovani 15-34","TV Tradizionale"
24,3,1,"2024-01-09","Mattina","Lazio",1354979,34.00,"Responsabili Acquisto","Smart TV"
25,3,1,"2024-01-09","Mattina","Lombardia",1981212,8.00,"Adulti 25-54","Smart TV"
26,3,1,"2024-01-09","Mattina","Piemonte",1350341,18.00,"Giovani 15-34","TV Tradizionale"
27,3,1,"2024-01-09","Mattina","Puglia",1279639,12.00,"Tutti","Smart TV"
28,3,1,"2024-01-09","Mattina","Sicilia",584412,11.00,"Tutti","TV Tradizionale"
29,3,1,"2024-01-09","Mattina","Toscana",1441528,9.00,"Tutti","Streaming"
30,3,1,"2024-01-09","Mattina","Veneto",1721138,27.00,"Tutti","Streaming"
31,4,1,"2024-01-12","Mattina","Calabria",1181482,34.00,"Tutti","Streaming"
32,4,1,"2024-01-12","Mattina","Campania",1914689,23.00,"Responsabili Acquisto","Streaming"
33,4,1,"2024-01-12","Mattina","Emilia-Romagna",1197955,30.00,"Giovani 15-34","TV Tradizionale"
34,4,1,"2024-01-12","Mattina","Lazio",1590711,31.00,"Tutti","Smart TV"
35,4,1,"2024-01-12","Mattina","Lombardia",1798341,31.00,"Tutti","Smart TV"
36,4,1,"2024-01-12","Mattina","Piemonte",1164025,27.00,"Tutti","TV Tradizionale"
37,4,1,"2024-01-12","Mattina","Puglia",777285,27.00,"Giovani 15-34","Smart TV"
38,4,1,"2024-01-12","Mattina","Sicilia",1059778,35.00,"Responsabili Acquisto","TV Tradizionale"
39,4,1,"2024-01-12","Mattina","Toscana",832979,26.00,"Responsabili Acquisto","Streaming"
40,4,1,"2024-01-12","Mattina","Veneto",675157,8.00,"Giovani 15-34","Streaming"
41,5,1,"2024-01-15","Mattina","Calabria",1961079,26.00,"Adulti 25-54","Streaming"
42,5,1,"2024-01-15","Mattina","Campania",1574383,24.00,"Giovani 15-34","Streaming"
43,5,1,"2024-01-15","Mattina","Emilia-Romagna",488580,23.00,"Giovani 15-34","TV Tradizionale"
44,5,1,"2024-01-15","Mattina","Lazio",1191970,22.00,"Adulti 25-54","Smart TV"
45,5,1,"2024-01-15","Mattina","Lombardia",933929,13.00,"Responsabili Acquisto","Smart TV"
46,5,1,"2024-01-15","Mattina","Piemonte",854239,14.00,"Adulti 25-54","TV Tradizionale"
47,5,1,"2024-01-15","Mattina","Puglia",767619,14.00,"Adulti 25-54","Smart TV"
48,5,1,"2024-01-15","Mattina","Sicilia",952918,12.00,"Giovani 15-34","TV Tradizionale"
49,5,1,"2024-01-15","Mattina","Toscana",867211,8.00,"Giovani 15-34","Streaming"
50,5,1,"2024-01-15","Mattina","Veneto",388991,30.00,"Adulti 25-54","Streaming"
51,6,1,"2024-01-18","Mattina","Calabria",970620,18.00,"Tutti","Streaming"
52,6,1,"2024-01-18","Mattina","Campania",369274,22.00,"Giovani 15-34","Streaming"
53,6,1,"2024-01-18","Mattina","Emilia-Romagna",236110,27.00,"Adulti 25-54","TV Tradizionale"
54,6,1,"2024-01-18","Mattina","Lazio",843765,12.00,"Responsabili Acquisto","Smart TV"
55,6,1,"2024-01-18","Mattina","Lombardia",660415,21.00,"Adulti 25-54","Smart TV"
56,6,1,"2024-01-18","Mattina","Piemonte",865856,13.00,"Responsabili Acquisto","TV Tradizionale"
57,6,1,"2024-01-18","Mattina","Puglia",607790,13.00,"Adulti 25-54","Smart TV"
58,6,1,"2024-01-18","Mattina","Sicilia",969287,11.00,"Adulti 25-54","TV Tradizionale"
59,6,1,"2024-01-18","Mattina","Toscana",161446,34.00,"Responsabili Acquisto","Streaming"
60,6,1,"2024-01-18","Mattina","Veneto",389406,31.00,"Giovani 15-34","Streaming"
61,7,1,"2024-01-21","Mattina","Calabria",274414,33.00,"Giovani 15-34","Streaming"
62,7,1,"2024-01-21","Mattina","Campania",968548,8.00,"Tutti","Streaming"
63,7,1,"2024-01-21","Mattina","Emilia-Romagna",606481,5.00,"Adulti 25-54","TV Tradizionale"
64,7,1,"2024-01-21","Mattina","Lazio",856054,33.00,"Responsabili Acquisto","Smart TV"
65,7,1,"2024-01-21","Mattina","Lombardia",416839,13.00,"Giovani 15-34","Smart TV"
66,7,1,"2024-01-21","Mattina","Piemonte",357279,12.00,"Giovani 15-34","TV Tradizionale"
67,7,1,"2024-01-21","Mattina","Puglia",489829,32.00,"Giovani 15-34","Smart TV"
68,7,1,"2024-01-21","Mattina","Sicilia",455603,8.00,"Tutti","TV Tradizionale"
69,7,1,"2024-01-21","Mattina","Toscana",765005,5.00,"Responsabili Acquisto","Streaming"
70,7,1,"2024-01-21","Mattina","Veneto",1995517,25.00,"Giovani 15-34","Streaming"
71,8,1,"2024-01-24","Mattina","Calabria",1999955,29.00,"Responsabili Acquisto","Streaming"
72,8,1,"2024-01-24","Mattina","Campania",711795,19.00,"Responsabili Acquisto","Streaming"
73,8,1,"2024-01-24","Mattina","Emilia-Romagna",345484,17.00,"Responsabili Acquisto","TV Tradizionale"
74,8,1,"2024-01-24","Mattina","Lazio",1276270,35.00,"Adulti 25-54","Smart TV"
75,8,1,"2024-01-24","Mattina","Lombardia",1945086,20.00,"Tutti","Smart TV"
76,8,1,"2024-01-24","Mattina","Piemonte",656831,6.00,"Responsabili Acquisto","TV Tradizionale"
77,8,1,"2024-01-24","Mattina","Puglia",1936293,27.00,"Adulti 25-54","Smart TV"
78,8,1,"2024-01-24","Mattina","Sicilia",832753,13.00,"Adulti 25-54","TV Tradizionale"
79,8,1,"2024-01-24","Mattina","Toscana",1288068,20.00,"Responsabili Acquisto","Streaming"
80,8,1,"2024-01-24","Mattina","Veneto",420933,9.00,"Giovani 15-34","Streaming"
81,9,1,"2024-01-27","Mattina","Calabria",1896249,21.00,"Tutti","Streaming"
82,9,1,"2024-01-27","Mattina","Campania",453009,32.00,"Tutti","Streaming"
83,9,1,"2024-01-27","Mattina","Emilia-Romagna",259545,24.00,"Giovani 15-34","TV Tradizionale"
84,9,1,"2024-01-27","Mattina","Lazio",1151846,26.00,"Giovani 15-34","Smart TV"
85,9,1,"2024-01-27","Mattina","Lombardia",998258,30.00,"Tutti","Smart TV"
86,9,1,"2024-01-27","Mattina","Piemonte",240322,13.00,"Adulti 25-54","TV Tradizionale"
87,9,1,"2024-01-27","Mattina","Puglia",1179674,34.00,"Responsabili Acquisto","Smart TV"
88,9,1,"2024-01-27","Mattina","Sicilia",1376670,15.00,"Tutti","TV Tradizionale"
89,9,1,"2024-01-27","Mattina","Toscana",600603,6.00,"Adulti 25-54","Streaming"
90,9,1,"2024-01-27","Mattina","Veneto",242207,33.00,"Giovani 15-34","Streaming"
91,10,1,"2024-01-30","Mattina","Calabria",1180488,9.00,"Responsabili Acquisto","Streaming"
92,10,1,"2024-01-30","Mattina","Campania",626333,8.00,"Responsabili Acquisto","Streaming"
93,10,1,"2024-01-30","Mattina","Emilia-Romagna",105119,20.00,"Adulti 25-54","TV Tradizionale"
94,10,1,"2024-01-30","Mattina","Lazio",838381,20.00,"Tutti","Smart TV"
95,10,1,"2024-01-30","Mattina","Lombardia",286906,22.00,"Tutti","Smart TV"
96,10,1,"2024-01-30","Mattina","Piemonte",908686,6.00,"Tutti","TV Tradizionale"
97,10,1,"2024-01-30","Mattina","Puglia",941795,28.00,"Giovani 15-34","Smart TV"
98,10,1,"2024-01-30","Mattina","Sicilia",1621861,28.00,"Adulti 25-54","TV Tradizionale"
99,10,1,"2024-01-30","Mattina","Toscana",1439147,7.00,"Responsabili Acquisto","Streaming"
100,10,1,"2024-01-30","Mattina","Veneto",1918788,18.00,"Giovani 15-34","Streaming"
101,11,1,"2024-02-02","Mattina","Calabria",968207,20.00,"Giovani 15-34","Streaming"
102,11,1,"2024-02-02","Mattina","Campania",1532867,17.00,"Tutti","Streaming"
103,11,1,"2024-02-02","Mattina","Emilia-Romagna",582812,9.00,"Tutti","TV Tradizionale"
104,11,1,"2024-02-02","Mattina","Lazio",303533,5.00,"Tutti","Smart TV"
105,11,1,"2024-02-02","Mattina","Lombardia",1225956,27.00,"Giovani 15-34","Smart TV"
106,11,1,"2024-02-02","Mattina","Piemonte",1938344,35.00,"Tutti","TV Tradizionale"
107,11,1,"2024-02-02","Mattina","Puglia",580206,5.00,"Responsabili Acquisto","Smart TV"
108,11,1,"2024-02-02","Mattina","Sicilia",911624,21.00,"Adulti 25-54","TV Tradizionale"
109,11,1,"2024-02-02","Mattina","Toscana",776328,31.00,"Tutti","Streaming"
110,11,1,"2024-02-02","Mattina","Veneto",1608379,32.00,"Responsabili Acquisto","Streaming"
111,12,1,"2024-02-05","Mattina","Calabria",1362472,26.00,"Adulti 25-54","Streaming"
112,12,1,"2024-02-05","Mattina","Campania",1123495,32.00,"Responsabili Acquisto","Streaming"
113,12,1,"2024-02-05","Mattina","Emilia-Romagna",72289,9.00,"Giovani 15-34","TV Tradizionale"
114,12,1,"2024-02-05","Mattina","Lazio",1133509,9.00,"Adulti 25-54","Smart TV"
115,12,1,"2024-02-05","Mattina","Lombardia",1913276,34.00,"Tutti","Smart TV"
116,12,1,"2024-02-05","Mattina","Piemonte",1230444,14.00,"Responsabili Acquisto","TV Tradizionale"
117,12,1,"2024-02-05","Mattina","Puglia",584604,30.00,"Giovani 15-34","Smart TV"
118,12,1,"2024-02-05","Mattina","Sicilia",377074,28.00,"Adulti 25-54","TV Tradizionale"
119,12,1,"2024-02-05","Mattina","Toscana",1540153,14.00,"Tutti","Streaming"
120,12,1,"2024-02-05","Mattina","Veneto",1936489,25.00,"Responsabili Acquisto","Streaming"
121,13,1,"2024-02-08","Mattina","Calabria",1400484,31.00,"Adulti 25-54","Streaming"
122,13,1,"2024-02-08","Mattina","Campania",1418658,31.00,"Giovani 15-34","Streaming"
123,13,1,"2024-02-08","Mattina","Emilia-Romagna",1555556,11.00,"Responsabili Acquisto","TV Tradizionale"
124,13,1,"2024-02-08","Mattina","Lazio",1345848,20.00,"Responsabili Acquisto","Smart TV"
125,13,1,"2024-02-08","Mattina","Lombardia",1378114,26.00,"Tutti","Smart TV"
126,13,1,"2024-02-08","Mattina","Piemonte",816797,33.00,"Tutti","TV Tradizionale"
127,13,1,"2024-02-08","Mattina","Puglia",1779612,23.00,"Tutti","Smart TV"
128,13,1,"2024-02-08","Mattina","Sicilia",1581760,18.00,"Giovani 15-34","TV Tradizionale"
129,13,1,"2024-02-08","Mattina","Toscana",637417,16.00,"Giovani 15-34","Streaming"
130,13,1,"2024-02-08","Mattina","Veneto",247812,33.00,"Giovani 15-34","Streaming"
131,14,1,"2024-02-11","Mattina","Calabria",409742,33.00,"Responsabili Acquisto","Streaming"
132,14,1,"2024-02-11","Mattina","Campania",1137014,13.00,"Adulti 25-54","Streaming"
133,14,1,"2024-02-11","Mattina","Emilia-Romagna",932475,28.00,"Giovani 15-34","TV Tradizionale"
134,14,1,"2024-02-11","Mattina","Lazio",74564,10.00,"Tutti","Smart TV"
135,14,1,"2024-02-11","Mattina","Lombardia",908445,7.00,"Tutti","Smart TV"
136,14,1,"2024-02-11","Mattina","Piemonte",1282258,28.00,"Giovani 15-34","TV Tradizionale"
137,14,1,"2024-02-11","Mattina","Puglia",1335639,11.00,"Tutti","Smart TV"
138,14,1,"2024-02-11","Mattina","Sicilia",100597,33.00,"Adulti 25-54","TV Tradizionale"
139,14,1,"2024-02-11","Mattina","Toscana",1596160,18.00,"Giovani 15-34","Streaming"
140,14,1,"2024-02-11","Mattina","Veneto",474512,10.00,"Adulti 25-54","Streaming"
141,15,1,"2024-02-14","Mattina","Calabria",255636,10.00,"Responsabili Acquisto","Streaming"
142,15,1,"2024-02-14","Mattina","Campania",1115038,21.00,"Tutti","Streaming"
143,15,1,"2024-02-14","Mattina","Emilia-Romagna",1041678,9.00,"Adulti 25-54","TV Tradizionale"
144,15,1,"2024-02-14","Mattina","Lazio",1068471,13.00,"Giovani 15-34","Smart TV"
145,15,1,"2024-02-14","Mattina","Lombardia",1751155,18.00,"Giovani 15-34","Smart TV"
146,15,1,"2024-02-14","Mattina","Piemonte",1968408,30.00,"Responsabili Acquisto","TV Tradizionale"
147,15,1,"2024-02-14","Mattina","Puglia",746971,27.00,"Responsabili Acquisto","Smart TV"
148,15,1,"2024-02-14","Mattina","Sicilia",824950,11.00,"Adulti 25-54","TV Tradizionale"
149,15,1,"2024-02-14","Mattina","Toscana",1249400,9.00,"Adulti 25-54","Streaming"
150,15,1,"2024-02-14","Mattina","Veneto",1350787,18.00,"Adulti 25-54","Streaming"
151,16,1,"2024-02-17","Mattina","Calabria",633383,29.00,"Adulti 25-54","Streaming"
152,16,1,"2024-02-17","Mattina","Campania",632586,30.00,"Adulti 25-54","Streaming"
153,16,1,"2024-02-17","Mattina","Emilia-Romagna",736821,19.00,"Tutti","TV Tradizionale"
154,16,1,"2024-02-17","Mattina","Lazio",1140671,23.00,"Responsabili Acquisto","Smart TV"
155,16,1,"2024-02-17","Mattina","Lombardia",1651455,8.00,"Tutti","Smart TV"
156,16,1,"2024-02-17","Mattina","Piemonte",1807278,29.00,"Responsabili Acquisto","TV Tradizionale"
157,16,1,"2024-02-17","Mattina","Puglia",190539,22.00,"Giovani 15-34","Smart TV"
158,16,1,"2024-02-17","Mattina","Sicilia",1944364,35.00,"Giovani 15-34","TV Tradizionale"
159,16,1,"2024-02-17","Mattina","Toscana",1557886,7.00,"Adulti 25-54","Streaming"
160,16,1,"2024-02-17","Mattina","Veneto",1317659,33.00,"Giovani 15-34","Streaming"
161,17,1,"2024-02-20","Mattina","Calabria",1673758,28.00,"Tutti","Streaming"
162,17,1,"2024-02-20","Mattina","Campania",1628558,9.00,"Responsabili Acquisto","Streaming"
163,17,1,"2024-02-20","Mattina","Emilia-Romagna",1504984,9.00,"Responsabili Acquisto","TV Tradizionale"
164,17,1,"2024-02-20","Mattina","Lazio",1499487,27.00,"Responsabili Acquisto","Smart TV"
165,17,1,"2024-02-20","Mattina","Lombardia",1683186,17.00,"Giovani 15-34","Smart TV"
166,17,1,"2024-02-20","Mattina","Piemonte",638933,29.00,"Adulti 25-54","TV Tradizionale"
167,17,1,"2024-02-20","Mattina","Puglia",1124836,22.00,"Adulti 25-54","Smart TV"
168,17,1,"2024-02-20","Mattina","Sicilia",659513,21.00,"Giovani 15-34","TV Tradizionale"
169,17,1,"2024-02-20","Mattina","Toscana",559629,34.00,"Tutti","Streaming"
170,17,1,"2024-02-20","Mattina","Veneto",1440208,29.00,"Adulti 25-54","Streaming"
171,18,1,"2024-02-23","Mattina","Calabria",1998798,35.00,"Adulti 25-54","Streaming"
172,18,1,"2024-02-23","Mattina","Campania",915536,24.00,"Responsabili Acquisto","Streaming"
173,18,1,"2024-02-23","Mattina","Emilia-Romagna",294311,10.00,"Adulti 25-54","TV Tradizionale"
174,18,1,"2024-02-23","Mattina","Lazio",667599,33.00,"Tutti","Smart TV"
175,18,1,"2024-02-23","Mattina","Lombardia",1977599,33.00,"Adulti 25-54","Smart TV"
176,18,1,"2024-02-23","Mattina","Piemonte",644175,21.00,"Adulti 25-54","TV Tradizionale"
177,18,1,"2024-02-23","Mattina","Puglia",432907,11.00,"Tutti","Smart TV"
178,18,1,"2024-02-23","Mattina","Sicilia",1466844,35.00,"Responsabili Acquisto","TV Tradizionale"
179,18,1,"2024-02-23","Mattina","Toscana",997378,28.00,"Giovani 15-34","Streaming"
180,18,1,"2024-02-23","Mattina","Veneto",1811968,34.00,"Responsabili Acquisto","Streaming"
181,19,1,"2024-02-26","Mattina","Calabria",725294,16.00,"Tutti","Streaming"
182,19,1,"2024-02-26","Mattina","Campania",1345255,30.00,"Responsabili Acquisto","Streaming"
183,19,1,"2024-02-26","Mattina","Emilia-Romagna",1335649,16.00,"Tutti","TV Tradizionale"
184,19,1,"2024-02-26","Mattina","Lazio",489848,28.00,"Tutti","Smart TV"
185,19,1,"2024-02-26","Mattina","Lombardia",781470,14.00,"Giovani 15-34","Smart TV"
186,19,1,"2024-02-26","Mattina","Piemonte",338770,26.00,"Giovani 15-34","TV Tradizionale"
187,19,1,"2024-02-26","Mattina","Puglia",224244,35.00,"Responsabili Acquisto","Smart TV"
188,19,1,"2024-02-26","Mattina","Sicilia",1779921,17.00,"Adulti 25-54","TV Tradizionale"
189,19,1,"2024-02-26","Mattina","Toscana",1710199,20.00,"Adulti 25-54","Streaming"
190,19,1,"2024-02-26","Mattina","Veneto",1113666,6.00,"Tutti","Streaming"
191,20,1,"2024-02-29","Mattina","Calabria",1828283,26.00,"Giovani 15-34","Streaming"
192,20,1,"2024-02-29","Mattina","Campania",892281,5.00,"Adulti 25-54","Streaming"
193,20,1,"2024-02-29","Mattina","Emilia-Romagna",447954,8.00,"Responsabili Acquisto","TV Tradizionale"
194,20,1,"2024-02-29","Mattina","Lazio",792102,8.00,"Responsabili Acquisto","Smart TV"
195,20,1,"2024-02-29","Mattina","Lombardia",1451874,15.00,"Giovani 15-34","Smart TV"
196,20,1,"2024-02-29","Mattina","Piemonte",55152,18.00,"Adulti 25-54","TV Tradizionale"
197,20,1,"2024-02-29","Mattina","Puglia",363529,35.00,"Adulti 25-54","Smart TV"
198,20,1,"2024-02-29","Mattina","Sicilia",1079334,30.00,"Tutti","TV Tradizionale"
199,20,1,"2024-02-29","Mattina","Toscana",132955,8.00,"Responsabili Acquisto","Streaming"
200,20,1,"2024-02-29","Mattina","Veneto",310322,30.00,"Giovani 15-34","Streaming"
201,21,1,"2024-03-03","Mattina","Calabria",1409120,32.00,"Giovani 15-34","Streaming"
202,21,1,"2024-03-03","Mattina","Campania",797621,19.00,"Tutti","Streaming"
203,21,1,"2024-03-03","Mattina","Emilia-Romagna",341898,22.00,"Tutti","TV Tradizionale"
204,21,1,"2024-03-03","Mattina","Lazio",770520,29.00,"Giovani 15-34","Smart TV"
205,21,1,"2024-03-03","Mattina","Lombardia",1463439,6.00,"Adulti 25-54","Smart TV"
206,21,1,"2024-03-03","Mattina","Piemonte",557293,13.00,"Adulti 25-54","TV Tradizionale"
207,21,1,"2024-03-03","Mattina","Puglia",1235375,33.00,"Responsabili Acquisto","Smart TV"
208,21,1,"2024-03-03","Mattina","Sicilia",1772960,31.00,"Adulti 25-54","TV Tradizionale"
209,21,1,"2024-03-03","Mattina","Toscana",460657,9.00,"Giovani 15-34","Streaming"
210,21,1,"2024-03-03","Mattina","Veneto",1488917,21.00,"Responsabili Acquisto","Streaming"
211,22,1,"2024-03-06","Mattina","Calabria",1750938,20.00,"Tutti","Streaming"
212,22,1,"2024-03-06","Mattina","Campania",1603126,19.00,"Giovani 15-34","Streaming"
213,22,1,"2024-03-06","Mattina","Emilia-Romagna",196376,22.00,"Tutti","TV Tradizionale"
214,22,1,"2024-03-06","Mattina","Lazio",1435292,31.00,"Tutti","Smart TV"
215,22,1,"2024-03-06","Mattina","Lombardia",1070448,24.00,"Tutti","Smart TV"
216,22,1,"2024-03-06","Mattina","Piemonte",1171847,21.00,"Giovani 15-34","TV Tradizionale"
217,22,1,"2024-03-06","Mattina","Puglia",1319008,13.00,"Adulti 25-54","Smart TV"
218,22,1,"2024-03-06","Mattina","Sicilia",78430,23.00,"Adulti 25-54","TV Tradizionale"
219,22,1,"2024-03-06","Mattina","Toscana",1320159,9.00,"Responsabili Acquisto","Streaming"
220,22,1,"2024-03-06","Mattina","Veneto",225403,9.00,"Adulti 25-54","Streaming"
221,23,1,"2024-03-09","Mattina","Calabria",242799,29.00,"Giovani 15-34","Streaming"
222,23,1,"2024-03-09","Mattina","Campania",433000,16.00,"Giovani 15-34","Streaming"
223,23,1,"2024-03-09","Mattina","Emilia-Romagna",501661,23.00,"Adulti 25-54","TV Tradizionale"
224,23,1,"2024-03-09","Mattina","Lazio",759884,22.00,"Giovani 15-34","Smart TV"
225,23,1,"2024-03-09","Mattina","Lombardia",755732,13.00,"Giovani 15-34","Smart TV"
226,23,1,"2024-03-09","Mattina","Piemonte",522329,5.00,"Responsabili Acquisto","TV Tradizionale"
227,23,1,"2024-03-09","Mattina","Puglia",242439,7.00,"Responsabili Acquisto","Smart TV"
228,23,1,"2024-03-09","Mattina","Sicilia",1330349,19.00,"Responsabili Acquisto","TV Tradizionale"
229,23,1,"2024-03-09","Mattina","Toscana",492468,29.00,"Giovani 15-34","Streaming"
230,23,1,"2024-03-09","Mattina","Veneto",1169396,26.00,"Adulti 25-54","Streaming"
231,24,1,"2024-03-12","Mattina","Calabria",202568,32.00,"Tutti","Streaming"
232,24,1,"2024-03-12","Mattina","Campania",298853,15.00,"Responsabili Acquisto","Streaming"
233,24,1,"2024-03-12","Mattina","Emilia-Romagna",225479,20.00,"Giovani 15-34","TV Tradizionale"
234,24,1,"2024-03-12","Mattina","Lazio",438201,13.00,"Tutti","Smart TV"
235,24,1,"2024-03-12","Mattina","Lombardia",1159469,17.00,"Responsabili Acquisto","Smart TV"
236,24,1,"2024-03-12","Mattina","Piemonte",1583029,15.00,"Giovani 15-34","TV Tradizionale"
237,24,1,"2024-03-12","Mattina","Puglia",532349,28.00,"Adulti 25-54","Smart TV"
238,24,1,"2024-03-12","Mattina","Sicilia",1298305,16.00,"Tutti","TV Tradizionale"
239,24,1,"2024-03-12","Mattina","Toscana",685027,29.00,"Giovani 15-34","Streaming"
240,24,1,"2024-03-12","Mattina","Veneto",608707,5.00,"Responsabili Acquisto","Streaming"
241,25,1,"2024-03-15","Mattina","Calabria",675552,26.00,"Tutti","Streaming"
242,25,1,"2024-03-15","Mattina","Campania",301684,31.00,"Tutti","Streaming"
243,25,1,"2024-03-15","Mattina","Emilia-Romagna",1133138,15.00,"Tutti","TV Tradizionale"
244,25,1,"2024-03-15","Mattina","Lazio",622333,31.00,"Adulti 25-54","Smart TV"
245,25,1,"2024-03-15","Mattina","Lombardia",251770,29.00,"Giovani 15-34","Smart TV"
246,25,1,"2024-03-15","Mattina","Piemonte",1692340,24.00,"Tutti","TV Tradizionale"
247,25,1,"2024-03-15","Mattina","Puglia",1410992,13.00,"Tutti","Smart TV"
248,25,1,"2024-03-15","Mattina","Sicilia",1872392,27.00,"Adulti 25-54","TV Tradizionale"
249,25,1,"2024-03-15","Mattina","Toscana",1093569,15.00,"Adulti 25-54","Streaming"
250,25,1,"2024-03-15","Mattina","Veneto",282172,30.00,"Adulti 25-54","Streaming"
251,26,1,"2024-03-18","Mattina","Calabria",1665999,5.00,"Adulti 25-54","Streaming"
252,26,1,"2024-03-18","Mattina","Campania",1499329,22.00,"Adulti 25-54","Streaming"
253,26,1,"2024-03-18","Mattina","Emilia-Romagna",125777,29.00,"Tutti","TV Tradizionale"
254,26,1,"2024-03-18","Mattina","Lazio",1214776,21.00,"Giovani 15-34","Smart TV"
255,26,1,"2024-03-18","Mattina","Lombardia",1648134,12.00,"Responsabili Acquisto","Smart TV"
256,26,1,"2024-03-18","Mattina","Piemonte",588889,31.00,"Responsabili Acquisto","TV Tradizionale"
257,26,1,"2024-03-18","Mattina","Puglia",898541,5.00,"Adulti 25-54","Smart TV"
258,26,1,"2024-03-18","Mattina","Sicilia",1136196,34.00,"Adulti 25-54","TV Tradizionale"
259,26,1,"2024-03-18","Mattina","Toscana",1731369,7.00,"Tutti","Streaming"
260,26,1,"2024-03-18","Mattina","Veneto",1900692,21.00,"Giovani 15-34","Streaming"
261,27,1,"2024-03-21","Mattina","Calabria",611977,6.00,"Adulti 25-54","Streaming"
262,27,1,"2024-03-21","Mattina","Campania",1964415,22.00,"Tutti","Streaming"
263,27,1,"2024-03-21","Mattina","Emilia-Romagna",675295,22.00,"Giovani 15-34","TV Tradizionale"
264,27,1,"2024-03-21","Mattina","Lazio",53204,33.00,"Responsabili Acquisto","Smart TV"
265,27,1,"2024-03-21","Mattina","Lombardia",1625603,30.00,"Giovani 15-34","Smart TV"
266,27,1,"2024-03-21","Mattina","Piemonte",1124047,19.00,"Tutti","TV Tradizionale"
267,27,1,"2024-03-21","Mattina","Puglia",387508,16.00,"Adulti 25-54","Smart TV"
268,27,1,"2024-03-21","Mattina","Sicilia",1740493,28.00,"Responsabili Acquisto","TV Tradizionale"
269,27,1,"2024-03-21","Mattina","Toscana",992227,31.00,"Adulti 25-54","Streaming"
270,27,1,"2024-03-21","Mattina","Veneto",1432199,29.00,"Adulti 25-54","Streaming"
271,28,1,"2024-03-24","Mattina","Calabria",543373,10.00,"Giovani 15-34","Streaming"
272,28,1,"2024-03-24","Mattina","Campania",228694,32.00,"Giovani 15-34","Streaming"
273,28,1,"2024-03-24","Mattina","Emilia-Romagna",1099632,18.00,"Responsabili Acquisto","TV Tradizionale"
274,28,1,"2024-03-24","Mattina","Lazio",590289,30.00,"Tutti","Smart TV"
275,28,1,"2024-03-24","Mattina","Lombardia",1741608,34.00,"Tutti","Smart TV"
276,28,1,"2024-03-24","Mattina","Piemonte",72994,23.00,"Tutti","TV Tradizionale"
277,28,1,"2024-03-24","Mattina","Puglia",660422,16.00,"Giovani 15-34","Smart TV"
278,28,1,"2024-03-24","Mattina","Sicilia",1842231,34.00,"Giovani 15-34","TV Tradizionale"
279,28,1,"2024-03-24","Mattina","Toscana",596339,15.00,"Responsabili Acquisto","Streaming"
280,28,1,"2024-03-24","Mattina","Veneto",317279,31.00,"Tutti","Streaming"
